epoch,aug_type,aug_value,train_loss,train_accuracy,test_loss,test_accuracy
0,,,0.0830373031851,0.97555,0.0749408485409,0.9775
0,rotation_range,30,0.0830373031851,0.97555,0.342858480084,0.8912
0,rotation_range,34,0.0830373031851,0.97555,0.451518324602,0.8598
0,rotation_range,60,0.0830373031851,0.97555,1.49575343533,0.6286
0,rotation_range,75,0.0830373031851,0.97555,2.07812276688,0.5385
0,rotation_range,90,0.0830373031851,0.97555,2.5296814991,0.47
0,width_shift_range,0.2,0.0830373031851,0.97555,1.30452257547,0.678
0,width_shift_range,0.5,0.0830373031851,0.97555,2.80104081726,0.3706
0,zoom_range,0.5,0.0830373031851,0.97555,0.628921673489,0.8221
0,zoom_range,1.0,0.0830373031851,0.97555,1.96449963837,0.5248
0,shear_range,0.5,0.0830373031851,0.97555,0.218804925148,0.9279
0,shear_range,1.0,0.0830373031851,0.97555,1.01991161518,0.7233
1,,,0.0556771199505,0.983533333333,0.0547473509336,0.982
1,rotation_range,30,0.0556771199505,0.983533333333,0.29771695427,0.9067
1,rotation_range,34,0.0556771199505,0.983533333333,0.40285250431,0.8793
1,rotation_range,60,0.0556771199505,0.983533333333,1.52287720909,0.6504
1,rotation_range,75,0.0556771199505,0.983533333333,2.19601718769,0.5488
1,rotation_range,90,0.0556771199505,0.983533333333,2.73156352425,0.4858
1,width_shift_range,0.2,0.0556771199505,0.983533333333,1.24634789324,0.714
1,width_shift_range,0.5,0.0556771199505,0.983533333333,3.23499745636,0.3861
1,zoom_range,0.5,0.0556771199505,0.983533333333,0.648069345546,0.8341
1,zoom_range,1.0,0.0556771199505,0.983533333333,2.25948036537,0.5405
1,shear_range,0.5,0.0556771199505,0.983533333333,0.190996223552,0.9402
1,shear_range,1.0,0.0556771199505,0.983533333333,1.05429774988,0.7435
2,,,0.0449203635264,0.986566666667,0.0452212576789,0.9865
2,rotation_range,30,0.0449203635264,0.986566666667,0.264899435806,0.9175
2,rotation_range,34,0.0449203635264,0.986566666667,0.366084172052,0.8893
2,rotation_range,60,0.0449203635264,0.986566666667,1.49675630655,0.6661
2,rotation_range,75,0.0449203635264,0.986566666667,2.22648454285,0.5602
2,rotation_range,90,0.0449203635264,0.986566666667,2.82974168396,0.4888
2,width_shift_range,0.2,0.0449203635264,0.986566666667,1.21453864093,0.7306
2,width_shift_range,0.5,0.0449203635264,0.986566666667,3.53366451912,0.3919
2,zoom_range,0.5,0.0449203635264,0.986566666667,0.626978925705,0.8439
2,zoom_range,1.0,0.0449203635264,0.986566666667,2.38239145317,0.5445
2,shear_range,0.5,0.0449203635264,0.986566666667,0.165487757558,0.9495
2,shear_range,1.0,0.0449203635264,0.986566666667,1.00539726493,0.7568
3,,,0.0356550923145,0.989216666667,0.0391975625233,0.988
3,rotation_range,30,0.0356550923145,0.989216666667,0.251032384402,0.9247
3,rotation_range,34,0.0356550923145,0.989216666667,0.352433705294,0.8944
3,rotation_range,60,0.0356550923145,0.989216666667,1.56375422764,0.6698
3,rotation_range,75,0.0356550923145,0.989216666667,2.35592471809,0.5654
3,rotation_range,90,0.0356550923145,0.989216666667,3.00560306702,0.4949
3,width_shift_range,0.2,0.0356550923145,0.989216666667,1.21386384619,0.7374
3,width_shift_range,0.5,0.0356550923145,0.989216666667,3.76728204994,0.3935
3,zoom_range,0.5,0.0356550923145,0.989216666667,0.629147846824,0.8525
