epoch accuracy
1 0.9685
2 0.9756
3 0.982
4 0.9841
5 0.9846
6 0.9871
7 0.9867
8 0.9892
9 0.9855
10 0.9893
11 0.9882
12 0.991
13 0.9902
14 0.9891
15 0.9918
16 0.9893
17 0.9895
18 0.9906
19 0.9911
20 0.9914
