epoch tloss tacc loss acc
1 0.38621535897254944 0.7528590425531915 0.4409184455871582 0.4893
2 0.11783576011657715 0.9373664529914529 0.38426539301872253 0.5625
3 0.09398766607046127 0.9558178191489362 0.37644946575164795 0.5479
4 0.07491258531808853 0.9664963942307693 0.36660727858543396 0.5702
5 0.0637475773692131 0.9731403579059829 0.36045438051223755 0.5587
6 0.05216027796268463 0.9796875 0.3583967387676239 0.5811
7 0.05629953742027283 0.9766793536324786 0.35044556856155396 0.5857
8 0.050617728382349014 0.9799679487179487 0.3538641035556793 0.5698
9 0.042750101536512375 0.9834109042553192 0.3323521614074707 0.6085
10 0.044912297278642654 0.9834401709401709 0.33564817905426025 0.6067
11 0.039861395955085754 0.9856382978723405 0.33480414748191833 0.6037
12 0.03632959723472595 0.9870125534188035 0.3350679278373718 0.596
