epoch tloss tacc loss acc
1 0.3862197995185852 0.752875664893617 0.16425849497318268 0.8864
2 0.11791253834962845 0.9373831463675214 0.11915937811136246 0.9387
3 0.0943155512213707 0.9557014627659575 0.10434279590845108 0.9436
4 0.07401403039693832 0.9675313835470085 0.0908445343375206 0.953
5 0.06321938335895538 0.9735910790598291 0.09488549083471298 0.9442
6 0.055282510817050934 0.9782247340425532 0.07766512036323547 0.9649
7 0.05513734370470047 0.977363782051282 0.0811302587389946 0.9602
8 0.04820811748504639 0.9814536591880342 0.08090855926275253 0.9567
9 0.043812550604343414 0.9827958776595744 0.06337839365005493 0.9728
10 0.04243859648704529 0.9844751602564102 0.06623794883489609 0.9684
11 0.04134932905435562 0.9854720744680852 0.0838313102722168 0.9616
12 0.03708112612366676 0.9865451388888888 0.056922797113657 0.9775
