epoch,tloss,tacc,loss,acc
1,0.33358874917030334,0.8248005319148937,0.47509604692459106,0.4554
2,0.06656413525342941,0.9709201388888888,0.4389357566833496,0.497
3,0.052269622683525085,0.9786569148936171,0.4022689461708069,0.52
4,0.04243794456124306,0.9824886485042735,0.4077466130256653,0.5174
5,0.03447851538658142,0.9869791666666666,0.3933388292789459,0.5305
6,0.03161123767495155,0.9883809840425531,0.389301061630249,0.5399
7,0.028254790231585503,0.9901509081196581,0.3962930738925934,0.537
8,0.025669971480965614,0.9918536324786325,0.39193394780158997,0.541
9,0.025197073817253113,0.9923537234042553,0.39674046635627747,0.5329
10,0.023324765264987946,0.9929720886752137,0.3970756232738495,0.5323
11,0.022159287706017494,0.9933843085106383,0.39637207984924316,0.5301
12,0.021084260195493698,0.9944411057692307,0.39897745847702026,0.533
